Bootcamp Course,Bootcamp Format,Bootcamp Year,Bootcamp Start Date,Campus - Timezone,Created Date,Close Date,Stage,Discount Amount (converted),Scholarship Amount (converted),Amount (converted),Net Amount With VAT (converted),Drop,Drop Reason,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Account: Last Modified Date,First touchpoint Date,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In
WD,PT,2020,2020-09-29,BCN,2020-03-09,2020-09-30,Closed lost,750.0,0.0,7500.0,6750.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,62.0,2020-07-10,2020-09-09,140.33,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-02-09,2020-10-09,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Spain,87.0,2020-10-30,2020-03-09,15.33,Barcelona,Yes
DA,FT,2021,2021-11-01,BCN,2020-09-29,2020-09-30,Closed lost,500.0,0.0,7000.0,6500.0,0,Not specified,other,Beginning learner,Male,Bachelor Degree,Yes,Spain,12.0,2020-11-26,2020-07-10,190.44,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-04-09,2020-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Spain,76.0,2020-09-23,2020-08-09,101.89,Barcelona,Yes
WD,FT,2021,2021-11-01,BCN,2020-07-10,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Male,Bachelor Degree,Yes,Europa-Asia,43.0,2020-10-26,2020-10-22,362.93,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-07-09,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Americas,77.0,2020-11-26,2020-07-09,3.2,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-05-09,2020-11-09,Paid Deposit,700.0,0.0,7000.0,6300.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,No,Spain,88.0,2020-05-12,2020-10-09,117.64,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-08-09,2020-11-18,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Advanced,Male,Master's Degree,Yes,Europa-Asia,20.0,2020-04-12,2020-05-10,642.94,Barcelona,Yes
DA,PT,2021,2021-09-02,BCN,2020-06-10,2020-12-31,Closed lost,750.0,0.0,7500.0,6750.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,36.0,2020-02-11,2020-06-10,3.2,Barcelona,Yes
DA,FT,2021,2021-11-01,BCN,2020-10-13,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,switchup,No experience,Male,Bachelor Degree,Yes,Spain,55.0,2020-08-12,2020-10-14,18.29,Barcelona,Yes
WD,FT,2021,2021-11-01,BCN,2020-10-10,2020-12-31,Technical Interview,700.0,0.0,7000.0,6300.0,0,Not specified,other,No experience,Female,Bachelor Degree,Yes,Americas,47.0,2020-10-22,2020-10-22,280.64,Barcelona,No
UX,FT,2021,2021-11-01,BCN,2020-10-22,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,33.0,2020-05-11,2020-04-11,312.6,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-10-24,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Americas,41.0,2020-10-28,2020-10-26,63.97,Barcelona,Yes
WD,PT,2021,2021-09-02,BCN,2020-10-23,2020-12-31,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,newspaperOrMagazine,Intermediate learner,Male,Bachelor Degree,Yes,Spain,39.0,2020-11-20,2020-10-26,68.9,Hospitalet,Yes
WD,FT,2021,2021-11-01,BCN,2020-10-25,2020-12-31,Technical Interview,700.0,0.0,7000.0,6300.0,0,Not specified,other,Beginning learner,Female,Bachelor Degree,Yes,Spain,40.0,2020-10-29,2020-10-26,27.09,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-10-22,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Male,No Formal Schooling,Yes,Spain,46.0,2020-10-23,2020-11-30,940.11,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-10-24,2020-12-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,7.0,2020-01-12,2020-01-12,906.14,Barcelona,Yes
DA,FT,2021,2021-11-01,BCN,2020-10-30,2020-12-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,36.0,2020-02-11,2020-02-11,67.43,Barcelona,Yes
UX,PT,2021,2021-11-05,BCN,2020-02-11,2020-12-31,Technical Interview,700.0,0.0,7500.0,6800.0,0,Not specified,google,Beginning learner,Female,Bachelor Degree,Yes,Spain,34.0,2020-04-11,2020-02-11,3.05,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-10-31,2020-12-31,Technical Interview,700.0,0.0,7000.0,6300.0,0,Not specified,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Spain,33.0,2020-05-11,2020-02-11,36.22,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-02-11,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,33.0,2020-11-28,2020-05-11,74.21,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-07-11,2020-11-22,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,Yes,Americas,15.0,2020-04-12,2020-11-23,381.51,Barcelona,Yes
DA,PT,2021,2021-09-02,BCN,2020-09-11,2020-12-31,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,No experience,Male,Bachelor Degree,Yes,Spain,29.0,2020-09-11,2020-09-11,8.87,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-05-11,2020-11-18,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Spain,20.0,2020-11-20,2020-05-11,1.92,Barcelona,Yes
UX,PT,2021,2021-09-02,BCN,2020-12-11,2020-12-31,Technical Interview,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,No,Spain,7.0,2020-01-12,2020-11-20,198.63,Barcelona,Yes
WD,PT,2021,2021-09-02,BCN,2020-10-11,2020-12-31,Student Agreement,750.0,0.0,7500.0,6750.0,0,Not specified,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Spain,1.0,2020-11-11,2020-01-12,507.03,Barcelona,Yes
DA,PT,2021,2021-09-02,BCN,2020-11-16,2020-12-31,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,No experience,Male,Master's Degree,Yes,Europa-Asia,6.0,2020-02-12,2020-11-20,95.97,Barcelona,No
WD,FT,2021,2021-11-01,BCN,2020-11-19,2020-12-31,Student Agreement,0.0,0.0,7000.0,7000.0,0,Not specified,google,Beginning learner,Male,Bachelor Degree,Yes,Spain,19.0,2020-11-19,2020-11-25,143.5,Barcelona,Yes
UX,FT,2021,2021-03-22,BCN,2020-11-20,2020-12-31,Technical Interview,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,8.0,2020-11-30,2020-11-30,241.08,Madrid-Barcelona,Yes
WD,FT,2021,2021-11-01,BCN,2020-11-23,2020-12-31,Technical Interview,500.0,0.0,7000.0,6500.0,0,Not specified,google,Beginning learner,Male,Master's Degree,Yes,Spain,8.0,2020-11-30,2020-11-25,47.31,Barcelona,Yes
WD,FT,2021,2021-03-22,BCN,2020-11-24,2020-12-31,Student Agreement,0.0,0.0,7000.0,7000.0,0,Not specified,switchup,No experience,Male,No Formal Schooling,Yes,Spain,7.0,2020-04-12,2020-11-30,140.75,Barcelona,Yes
WD,FT,2021,2021-11-01,BCN,2020-11-24,2020-11-25,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Master's Degree,Yes,Spain,12.0,2020-07-12,2020-11-25,15.0,London,Yes
WD,PT,2021,2021-09-02,BCN,2020-11-30,2020-12-31,Technical Interview,750.0,0.0,7500.0,6750.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,5.0,2020-04-12,2020-01-12,11.52,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-04-13,2020-06-30,Closed lost,0.0,0.0,8000.0,8000.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,158.0,2020-08-10,2020-03-07,1936.34,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-04-29,2020-06-30,Closed lost,500.0,0.0,7500.0,7000.0,0,Not specified,Referral,Beginning learner,Male,PhD,Yes,Spain,61.0,2020-08-10,2020-04-30,15.45,Barcelona,Yes
UX,FT,2020,2020-06-22,BCN,2020-05-31,2020-06-17,ISA won on account,0.0,0.0,7000.0,7000.0,1,Not interested,Referral,Beginning learner,Female,Bachelor Degree,Yes,Americas,174.0,2020-09-16,2020-02-06,44.21,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-01-06,2020-06-30,Closed lost,1000.0,0.0,7500.0,6500.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,110.0,2020-04-12,2020-02-06,39.89,Barcelona,Yes
UX,PT,2020,2020-06-16,BCN,2020-05-14,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,IronhackEvent,No experience,Male,Bachelor Degree,Yes,Americas,195.0,2020-08-10,2020-05-14,3.03,Barcelona,Yes
UX,FT,2020,2020-06-22,BCN,2020-05-18,2020-05-27,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Beginning learner,Female,Bachelor Degree,Yes,Europa-Asia,195.0,2020-09-16,2020-05-19,21.96,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-05-21,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Europa-Asia,186.0,2020-08-10,2020-05-22,18.97,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-06-25,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,other,Beginning learner,Male,Master's Degree,Yes,Spain,103.0,2020-08-10,2020-08-27,1510.72,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-05-19,2020-05-25,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,google,Beginning learner,Male,Bachelor Degree,No,Spain,197.0,2020-11-25,2020-05-20,19.49,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-06-13,2020-06-22,Paid Deposit,500.0,0.0,7000.0,6500.0,1,Personal matters,Referral,No experience,Male,Bachelor Degree,Yes,Spain,169.0,2020-11-13,2020-06-22,215.07,Barcelona,Yes
UX,FT,2021,2021-10-18,BCN,2020-05-22,2020-10-07,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,153.0,2020-10-31,2020-05-22,0.87,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-05-25,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,132.0,2020-08-10,2020-05-26,28.85,Barcelona,Yes
UX,PT,2020,2020-06-16,BCN,2020-05-23,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,Beginning learner,Male,Bachelor Degree,Yes,Spain,186.0,2020-08-10,2020-05-25,41.97,Barcelona,Yes
UX,PT,2020,2020-09-29,BCN,2020-06-15,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,Yes,Americas,62.0,2020-10-10,2020-06-19,97.1,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-05-22,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Male,No Formal Schooling,Yes,Europa-Asia,168.0,2020-08-10,2020-05-22,8.53,Barcelona,No
WD,PT,2020,2020-09-29,BCN,2020-06-19,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,Beginning learner,Male,No Formal Schooling,Yes,Spain,62.0,2020-08-10,2020-06-23,87.74,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-06-27,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Beginning learner,Male,Bachelor Degree,Yes,Europa-Asia,103.0,2020-08-10,2020-08-27,1458.15,Barcelona,Yes
WD,FT,2020,2020-10-19,BCN,2020-01-06,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,No experience,Male,High school Graduate,Yes,Europa-Asia,120.0,2020-02-11,2020-02-06,28.68,Torello,Yes
WD,FT,2020,2020-09-28,BCN,2020-06-15,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Spain,111.0,2020-08-10,2020-06-23,205.47,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-06-05,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Beginning learner,Female,Master's Degree,Yes,Spain,180.0,2020-08-10,2020-07-05,16.0,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-02-06,2020-06-30,Closed lost,700.0,0.0,7000.0,6300.0,0,Not specified,other,No experience,Male,Bachelor Degree,Yes,Europa-Asia,77.0,2020-08-10,2020-02-06,4.02,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-01-06,2020-06-15,Paid Deposit,1000.0,0.0,7500.0,6500.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,181.0,2020-04-12,2020-02-06,19.11,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-02-06,2020-07-15,ISA won on account,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,89.0,2020-03-12,2020-02-06,6.75,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-02-06,2020-06-17,Paid Deposit,700.0,0.0,7000.0,6300.0,0,Not specified,google,No experience,Female,Master's Degree,Yes,Americas,174.0,2020-02-12,2020-02-06,1.31,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-05-15,2020-05-21,Paid Deposit,700.0,0.0,7000.0,6300.0,0,Not specified,Social Media,No experience,Female,Bachelor Degree,Yes,Europa-Asia,201.0,2020-06-12,2020-05-18,63.12,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-06-29,2020-09-07,Paid Deposit,1050.0,0.0,7000.0,5950.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,151.0,2020-06-12,2020-02-07,64.54,Barcelona,Yes
UX,FT,2020,2020-10-19,BCN,2020-05-17,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Americas,99.0,2020-08-10,2020-05-18,22.02,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-05-17,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Americas,103.0,2020-08-10,2020-05-27,240.26,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-05-17,2020-06-30,Closed lost,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Europa-Asia,180.0,2020-08-10,2020-05-18,18.56,Budapest,Yes
WD,PT,2020,2020-09-29,BCN,2020-05-14,2020-06-30,Closed lost,0.0,0.0,8000.0,8000.0,0,Not specified,Referral,No experience,Male,No Formal Schooling,Yes,Spain,62.0,2020-08-10,2020-05-15,11.37,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-06-30,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,62.0,2020-08-10,2020-02-07,41.64,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-05-21,2020-06-30,Closed lost,700.0,0.0,7000.0,6300.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Spain,168.0,2020-09-24,2020-05-22,11.25,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-05-28,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,Yes,Americas,103.0,2020-08-10,2020-05-29,22.43,Barcelona,Yes
DA,PT,2020,2020-06-16,BCN,2020-05-28,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,No experience,Male,Bachelor Degree,Yes,Americas,181.0,2020-08-10,2020-02-06,126.26,Barcelona,Yes
DA,PT,2020,2020-06-16,BCN,2020-05-28,2020-10-06,Paid Deposit,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Spain,183.0,2020-11-25,2020-05-29,17.08,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-05-26,2020-06-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,No experience,Male,Bachelor Degree,Yes,Spain,77.0,2020-06-11,2020-05-27,19.83,Barcelona,Yes
WD,FT,2020,2020-09-28,BCN,2020-05-26,2020-08-06,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,No experience,Male,Bachelor Degree,No,Spain,183.0,2020-04-12,2020-05-26,1.02,Barcelona,Yes
UX,FT,2020,2020-09-28,BCN,2020-05-25,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Europa-Asia,77.0,2020-11-23,2020-05-26,14.77,Barcelona,Yes
UX,FT,2021,2021-11-01,BCN,2020-04-06,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Male,Bachelor Degree,Yes,Spain,47.0,2020-11-26,2020-05-06,15.09,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-03-06,2020-12-06,Paid Deposit,1800.0,0.0,7500.0,5700.0,0,Not specified,Referral,Beginning learner,Male,PhD,Yes,Spain,179.0,2020-02-11,2020-03-06,0.87,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-03-06,2020-04-06,Paid Deposit,500.0,0.0,7000.0,6500.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,187.0,2020-07-12,2020-03-06,2.05,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-07-14,2020-09-30,Closed lost,700.0,0.0,7000.0,6300.0,0,Not specified,other,No experience,Female,Bachelor Degree,Yes,Spain,92.0,2020-08-10,2020-07-27,308.76,Barcelona,Yes
WD,PT,2020,2020-09-29,BCN,2020-07-20,2020-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Americas,62.0,2020-08-10,2020-07-27,161.91,Barcelona,Yes
