Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Gender,Stage Duration,Hours Before First Touchpoint,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,FT,Referral,Male,141.0,0.41,1,0,8,0,1,8,-14,0.040000000000000036,9,3
DA,FT,IronhackEvent,Female,138.0,19.16,0,31,23,0,0,54,35,0.0,8,3
DA,FT,Social Media,Male,140.0,14.74,0,31,23,0,0,54,17,0.0,8,3
UX,FT,Social Media,Female,74.0,96.27,1,4,9,0,0,13,-6,0.0,9,3
DA,FT,IronhackEvent,Female,78.0,93.63,0,4,9,0,1,13,-6,0.09999999999999998,9,3
DA,FT,IronhackEvent,Male,74.0,70.8,1,3,9,0,0,12,-7,0.0,9,3
UX,FT,other,Female,131.0,19.55,0,31,23,0,0,54,35,0.0,8,3
UX,FT,other,Male,78.0,63.22,0,3,9,0,0,12,-7,0.0,9,3
WD,FT,google,Female,132.0,18.55,0,31,23,0,1,54,17,0.09999999999999998,8,3
WD,FT,other,Male,78.0,71.69,0,3,9,0,0,12,-7,0.0,9,3
WD,FT,other,Male,68.0,0.11,0,0,23,0,0,23,4,0.0,9,3
WD,FT,google,Female,61.0,48.92,0,2,9,0,1,11,-8,0.09999999999999998,9,3
UX,FT,google,Female,56.0,22.59,0,1,7,0,0,8,-11,0.0,9,3
UX,FT,other,Female,90.0,0.57,0,0,267,0,0,267,248,0.0,1,1
UX,FT,other,Female,138.0,12.42,0,31,236,0,0,267,230,0.0,1,1
WD,FT,google,Female,158.0,38.14,0,60,207,0,0,267,230,0.0,1,1
UX,PT,Referral,Male,158.0,11.86,0,31,236,0,0,267,258,0.0,1,1
WD,FT,google,Non-binary,71.0,125.42,0,5,2,0,0,7,-12,0.0,9,3
DA,FT,google,Female,63.0,138.01,0,6,2,0,1,8,-11,0.09999999999999998,9,3
WD,FT,other,Female,134.0,15.85,0,29,207,0,0,236,217,0.0,2,1
UX,FT,Social Media,Female,145.0,20.21,0,31,115,0,0,146,109,0.0,5,2
UX,FT,google,Male,70.0,122.73,0,5,2,0,0,7,-12,0.0,9,3
UX,FT,Social Media,Female,145.0,15.89,0,31,115,0,0,146,109,0.0,5,2
WD,FT,other,Male,148.0,60.91,0,92,115,0,0,207,170,0.0,3,1
WD,FT,google,Male,62.0,39.6,0,1,9,0,0,10,-9,0.0,9,3
WD,FT,other,Female,153.0,63.12,0,92,54,0,0,146,109,0.0,5,2
DA,FT,Social Media,Female,145.0,28.59,0,31,115,0,0,146,109,0.0,5,2
WD,PT,Referral,Male,21.0,165.41,0,7,2,0,0,9,346,0.0,9,3
WD,FT,google,Male,145.0,0.25,0,0,207,0,0,207,170,0.0,3,1
UX,FT,Social Media,Female,76.0,27.92,0,1,7,0,0,8,-11,0.0,9,3
WD,FT,google,Male,151.0,1.44,0,0,236,0,0,236,217,0.0,2,1
DA,FT,Referral,Female,145.0,0.51,0,0,207,0,0,207,170,0.0,3,1
UX,FT,other,Male,153.0,3.31,0,0,236,0,0,236,217,0.0,2,1
UX,PT,other,Female,123.0,2.18,0,0,236,0,0,236,227,0.0,2,1
DA,FT,google,Female,140.0,457.92,0,165,71,0,0,236,199,0.0,2,1
DA,FT,other,Female,125.0,12.22,0,29,207,0,0,236,199,0.0,2,1
UX,FT,Referral,Female,153.0,3.96,0,0,236,0,0,236,199,0.0,2,1
WD,FT,Social Media,Male,154.0,0.74,0,0,236,0,0,236,199,0.0,2,1
WD,FT,google,Male,126.0,2.49,0,0,236,0,0,236,199,0.0,2,1
UX,FT,google,Female,138.0,11.8,0,31,115,0,0,146,109,0.0,5,2
UX,FT,google,Male,152.0,14.39,0,29,207,0,0,236,199,0.0,2,1
UX,PT,Social Media,Male,125.0,15.1,0,0,64,0,1,64,55,0.09999999999999998,7,3
WD,FT,google,Female,62.0,44.86,0,2,2,0,1,4,-15,0.09999999999999998,9,3
UX,FT,Referral,Female,32.0,63.81,0,92,203,0,0,295,600,0.0,3,1
WD,PT,google,Male,32.0,37.73,0,61,234,0,0,295,540,0.0,3,1
UX,FT,Referral,Female,123.0,12.07,0,1,63,0,1,64,27,0.09999999999999998,7,3
WD,PT,Referral,Female,7.0,22.45,0,30,234,0,1,264,509,0.09999999999999998,4,2
DA,FT,other,Male,54.0,502.7,0,21,42,0,0,63,44,0.0,7,3
WD,FT,google,Female,98.0,18.75,0,1,40,0,1,41,22,0.09999999999999998,8,3
DA,FT,google,Female,61.0,7.73,0,0,40,0,1,40,21,0.09999999999999998,8,3
UX,FT,google,Female,112.0,16.1,0,1,43,0,0,44,25,0.0,8,3
UX,FT,google,Female,109.0,16.11,0,1,40,0,0,41,22,0.0,8,3
UX,FT,Referral,Male,208.0,50.24,0,2,64,0,0,66,121,0.0,4,2
DA,FT,Social Media,Male,166.0,27.71,1,30,55,0,0,85,141,0.0,4,2
WD,FT,quora,Male,98.0,3.88,0,0,40,0,0,40,21,0.0,8,3
UX,PT,Social Media,Female,168.0,15.63,0,1,63,0,0,64,147,0.0,4,2
WD,FT,other,Male,216.0,1.3,0,0,86,0,0,86,123,0.0,4,2
WD,FT,Referral,Female,211.0,16.82,0,31,86,0,1,117,172,0.09999999999999998,3,1
WD,FT,other,Female,218.0,65.77,0,91,86,0,0,177,214,0.0,1,1
WD,FT,google,Female,103.0,14.2,0,1,43,0,1,44,25,0.09999999999999998,8,3
WD,FT,google,Male,106.0,77.12,0,3,37,0,0,40,21,0.0,8,3
UX,FT,Social Media,Male,68.0,27.09,0,1,36,0,0,37,18,0.0,8,3
WD,FT,google,Male,110.0,22.31,0,1,41,0,0,42,23,0.0,8,3
UX,FT,other,Male,186.0,23.45,0,31,86,0,0,117,102,0.0,3,1
WD,FT,google,Male,103.0,18.61,0,1,35,0,0,36,17,0.0,8,3
WD,FT,other,Male,217.0,114.84,0,5,56,0,0,61,98,0.0,4,2
DA,FT,Social Media,Male,208.0,76.95,0,91,86,0,0,177,232,0.0,1,1
WD,FT,Social Media,Male,77.0,16.56,0,1,40,0,0,41,22,0.0,8,3
WD,FT,google,Male,77.0,763.56,0,32,8,0,0,40,21,0.0,8,3
DA,FT,Social Media,Female,145.0,5.09,0,0,267,0,0,267,230,0.0,1,1
WD,PT,Social Media,Male,190.0,57.52,0,2,42,0,0,44,-101,0.0,5,2
DA,FT,google,Male,200.0,52.8,0,2,42,0,0,44,81,0.0,5,2
UX,FT,google,Male,167.0,29.28,0,1,43,0,0,44,99,0.0,5,2
DA,PT,Referral,Female,21.0,936.55,0,245,111,0,1,356,601,0.09999999999999998,1,1
WD,FT,other,Male,95.0,41.92,1,60,245,0,0,305,246,0.0,1,1
UX,FT,google,Female,53.0,403.38,1,17,29,0,0,46,11,0.0,8,3
DA,FT,google,Male,98.0,0.25,0,0,265,0,0,265,246,0.0,1,1
DA,FT,Referral,Male,88.0,137.03,1,182,92,0,0,274,215,0.0,2,1
DA,FT,google,Male,54.0,807.86,0,93,112,0,0,205,186,0.0,3,1
WD,FT,Social Media,Male,87.0,15.33,1,29,214,0,0,243,407,0.0,2,1
UX,FT,other,Female,92.0,90.56,0,122,83,0,0,205,186,0.0,3,1
UX,FT,Social Media,Male,68.0,187.26,0,97,16,0,0,113,94,0.0,6,2
WD,FT,quora,Male,92.0,71.73,0,91,83,0,0,174,155,0.0,4,2
WD,FT,google,Male,83.0,155.19,0,36,16,0,0,52,33,0.0,8,3
DA,FT,Referral,Female,53.0,25.08,0,31,112,0,1,143,32,0.09999999999999998,8,3
WD,FT,Social Media,Male,68.0,9.19,0,0,21,0,0,21,2,0.0,9,3
WD,FT,Social Media,Male,91.0,14.37,0,31,52,0,0,83,64,0.0,7,3
WD,FT,google,Male,77.0,433.46,0,166,8,0,0,174,155,0.0,4,2
WD,FT,google,Male,43.0,362.93,0,104,70,0,0,174,479,0.0,7,3
DA,FT,other,Male,50.0,46.23,0,61,174,0,0,235,124,0.0,5,2
DA,FT,google,Male,64.0,16.43,0,30,235,0,0,265,154,0.0,4,2
UX,FT,google,Female,60.0,18.32,1,31,126,0,0,157,124,0.0,5,2
UX,PT,newspaperOrMagazine,Female,90.0,1.63,0,0,21,0,0,21,12,0.0,9,3
WD,FT,Social Media,Female,84.0,5.68,1,0,8,0,1,8,2,0.09999999999999998,9,3
UX,PT,Social Media,Female,47.0,378.31,0,134,70,0,0,204,449,0.0,6,2
WD,FT,Referral,Male,60.0,13.5,1,30,156,0,0,186,154,0.0,4,2
DA,FT,Social Media,Female,64.0,12.23,0,0,21,0,1,21,2,0.09999999999999998,9,3
DA,FT,other,Male,63.0,19.93,0,1,14,0,0,15,-4,0.0,9,3
DA,PT,Referral,Female,36.0,3.2,0,0,204,0,1,204,449,0.09999999999999998,6,2
WD,FT,Referral,Male,8.0,1270.31,0,201,34,0,0,235,316,0.0,5,2
UX,FT,other,Female,82.0,5.76,0,0,15,0,0,15,-4,0.0,9,3
DA,FT,other,Male,54.0,94.89,0,122,21,0,0,143,32,0.0,8,3
WD,FT,Social Media,Female,47.0,317.67,0,42,70,0,1,112,193,0.09999999999999998,9,3
DA,FT,switchup,Male,55.0,18.29,0,1,78,0,0,79,384,0.0,10,4
WD,FT,other,Female,47.0,280.64,0,12,70,0,1,82,387,0.09999999999999998,10,4
DA,FT,other,Male,43.0,11.73,0,0,71,0,0,71,-40,0.0,10,4
WD,FT,google,Male,19.0,22.15,0,1,70,0,0,71,376,0.0,10,4
DA,FT,Referral,Female,35.0,1.85,0,0,76,0,1,76,-35,0.09999999999999998,10,4
DA,FT,quora,Male,47.0,44.62,1,2,10,0,1,12,-37,0.06000000000000005,10,4
DA,FT,other,Male,39.0,18.39,0,1,70,0,0,71,-40,0.0,10,4
DA,FT,switchup,Male,12.0,25.5,0,1,64,0,0,65,146,0.0,10,4
DA,FT,google,Male,33.0,3.03,0,0,66,0,0,66,-45,0.0,10,4
UX,PT,Social Media,Female,43.0,89.88,0,4,66,0,1,70,315,0.09999999999999998,10,4
DA,FT,other,Female,35.0,17.09,0,1,69,0,1,70,-41,0.09999999999999998,10,4
DA,FT,Referral,Male,43.0,18.63,0,1,69,0,0,70,375,0.0,10,4
UX,FT,google,Female,41.0,63.97,0,2,66,0,0,68,373,0.0,10,4
WD,FT,google,Male,45.0,3.83,1,0,1,0,1,1,-41,0.040000000000000036,10,4
WD,FT,Social Media,Male,36.0,84.93,0,4,62,0,0,66,147,0.0,10,4
WD,PT,newspaperOrMagazine,Male,39.0,68.9,0,3,66,0,0,69,314,0.0,10,4
WD,FT,Social Media,Male,7.0,114.37,0,5,65,0,0,70,151,0.0,10,4
WD,FT,other,Female,40.0,27.09,0,1,66,0,1,67,372,0.09999999999999998,10,4
DA,PT,google,Male,40.0,146.9,0,6,63,0,0,69,314,0.0,10,4
WD,FT,google,Male,46.0,940.11,0,39,31,0,0,70,151,0.0,10,4
DA,FT,Referral,Female,32.0,3.03,0,0,66,0,1,66,-45,0.09999999999999998,10,4
DA,FT,Social Media,Male,40.0,44.6,0,2,63,0,0,65,-46,0.0,10,4
WD,FT,google,Female,11.0,59.18,0,61,234,0,1,295,600,0.09999999999999998,3,1
DA,PT,Social Media,Male,8.0,413.41,0,254,41,0,1,295,540,0.09999999999999998,3,1
DA,FT,google,Female,21.0,13.43,0,29,295,0,1,324,213,0.09999999999999998,2,1
UX,PT,Social Media,Female,11.0,25.4,0,31,324,0,1,355,600,0.09999999999999998,1,1
UX,PT,google,Female,34.0,3.05,0,0,324,0,1,324,633,0.08999999999999997,2,1
DA,FT,IronhackEvent,Female,22.0,20.9,0,1,62,0,1,63,-48,0.09999999999999998,10,4
DA,FT,other,Female,39.0,14.64,0,1,63,0,1,64,-47,0.09999999999999998,10,4
WD,FT,Referral,Male,33.0,74.21,0,90,234,0,0,324,405,0.0,2,1
UX,PT,Referral,Male,29.0,71.73,0,91,20,0,0,111,356,0.0,9,3
DA,FT,Social Media,Male,29.0,42.83,0,62,111,0,0,173,254,0.0,7,3
DA,FT,Social Media,Female,18.0,19.01,0,31,203,0,1,234,539,0.09999999999999998,5,2
DA,PT,Referral,Female,32.0,89.58,0,123,111,0,1,234,479,0.09999999999999998,5,2
UX,FT,other,Female,18.0,93.78,1,122,40,0,0,162,31,0.0,6,2
DA,PT,Social Media,Male,29.0,8.87,0,0,111,0,0,111,356,0.0,9,3
WD,FT,google,Male,29.0,10.98,0,31,111,0,0,142,223,0.0,8,3
UX,FT,Referral,Female,25.0,90.07,0,63,48,0,1,111,416,0.09999999999999998,9,3
UX,FT,google,Female,20.0,1.92,1,0,191,0,0,191,539,0.0,5,2
UX,FT,other,Male,13.0,62.15,0,3,45,0,0,48,-124,0.0,11,4
WD,FT,Referral,Male,20.0,50.29,0,61,20,0,0,81,162,0.0,10,4
UX,FT,Social Media,Female,28.0,5.16,1,0,0,0,0,0,-91,0.0,10,4
UX,FT,other,Male,18.0,61.1,1,3,4,0,0,7,-124,0.0,11,4
DA,PT,google,Male,6.0,95.97,0,4,41,0,0,45,290,0.0,11,4
WD,FT,Social Media,Male,8.0,95.06,0,4,43,0,1,47,128,0.09999999999999998,11,4
WD,FT,google,Male,19.0,143.5,0,6,36,0,0,42,347,0.0,11,4
DA,PT,google,Male,18.0,1.78,0,0,41,0,0,41,286,0.0,11,4
WD,PT,Social Media,Female,1.0,124.21,0,5,38,0,1,43,314,0.09999999999999998,11,4
UX,FT,Referral,Female,8.0,241.08,0,10,31,0,0,41,122,0.0,11,4
UX,FT,Referral,Female,18.0,66.49,0,3,38,0,0,41,346,0.0,11,4
WD,FT,Social Media,Male,13.0,80.29,0,3,37,0,0,40,345,0.0,11,4
UX,FT,other,Female,14.0,63.11,1,3,0,0,0,3,-132,0.0,11,4
WD,FT,google,Female,16.0,109.78,0,5,34,0,1,39,120,0.09999999999999998,11,4
WD,FT,google,Male,8.0,47.31,0,2,36,0,1,38,343,0.06999999999999995,11,4
UX,FT,other,Female,13.0,20.16,1,1,0,0,1,1,-135,1.0,11,4
UX,FT,newspaperOrMagazine,Female,11.0,11.61,0,1,36,0,0,37,342,0.0,11,4
WD,FT,switchup,Male,7.0,140.75,0,6,31,0,0,37,118,0.0,11,4
WD,FT,Referral,Male,12.0,15.0,1,1,0,0,0,1,342,0.0,11,4
WD,FT,Social Media,Male,5.0,0.69,0,0,35,0,0,35,340,0.0,11,4
DA,FT,google,Male,6.0,27.22,0,29,294,0,0,323,628,0.0,2,1
UX,FT,google,Female,5.0,23.8,0,29,294,0,0,323,628,0.0,2,1
DA,FT,Referral,Male,1.0,140.69,0,182,172,0,0,354,659,0.0,1,1
WD,FT,Referral,Male,1.0,24.18,0,29,294,0,0,323,404,0.0,2,1
DA,PT,google,Male,217.0,70.03,0,90,56,0,0,146,30,0.0,2,1
UX,FT,newspaperOrMagazine,Male,215.0,1.07,1,0,43,0,1,43,71,0.040000000000000036,4,2
DA,FT,other,Prefer not to disclose,217.0,114.0,0,5,56,0,0,61,98,0.0,4,2
WD,PT,Social Media,Male,270.0,1216.83,0,51,18,0,0,69,15,0.0,1,1
DA,FT,google,Male,245.0,0.3,0,0,40,0,0,40,168,0.0,2,1
UX,PT,other,Female,232.0,14.5,0,1,74,0,0,75,158,0.0,4,2
WD,FT,IronhackEvent,Female,173.0,2.72,0,0,48,0,1,48,103,0.09999999999999998,5,2
WD,FT,IronhackEvent,Male,139.0,17.32,0,1,46,0,0,47,102,0.0,5,2
WD,FT,other,Female,203.0,19.02,0,1,46,0,1,47,84,0.09999999999999998,5,2
WD,FT,google,Male,202.0,0.61,0,0,47,0,0,47,84,0.0,5,2
UX,PT,Referral,Female,125.0,19.45,0,1,33,0,0,34,117,0.0,5,2
UX,FT,Referral,Female,183.0,3.74,0,0,41,0,0,41,96,0.0,5,2
WD,FT,google,Male,193.0,3.83,0,0,41,0,0,41,78,0.0,5,2
UX,FT,other,Female,139.0,90.43,0,4,1,0,0,5,60,0.0,6,2
WD,FT,other,Female,155.0,3.82,0,0,0,0,0,0,55,0.0,6,2
WD,FT,google,Female,155.0,3.5,0,0,0,0,0,0,73,0.0,6,2
DA,FT,Referral,Female,194.0,30.37,0,1,41,0,0,42,79,0.0,5,2
WD,FT,newspaperOrMagazine,Male,175.0,72.56,0,3,38,0,0,41,96,0.0,5,2
UX,FT,Social Media,Female,197.0,2.21,0,0,41,0,0,41,26,0.0,5,2
WD,FT,other,Female,203.0,0.16,1,0,12,0,1,12,85,0.09999999999999998,5,2
DA,FT,Referral,Male,159.0,3.44,0,0,7,0,0,7,62,0.0,6,2
DA,FT,Social Media,Male,186.0,36.03,0,1,47,0,0,48,103,0.0,5,2
UX,FT,Referral,Female,113.0,175.44,1,7,141,0,1,148,87,0.09999999999999998,6,2
WD,FT,other,Female,181.0,9.32,0,0,47,0,0,47,102,0.0,5,2
UX,FT,google,Female,202.0,19.56,0,1,46,0,0,47,32,0.0,5,2
UX,PT,other,Female,159.0,20.92,0,1,36,0,0,37,120,0.0,5,2
WD,FT,Social Media,Male,138.0,28.69,0,1,38,0,0,39,94,0.0,5,2
UX,FT,Referral,Male,153.0,0.87,1,0,138,0,1,138,514,0.06999999999999995,5,2
UX,FT,Social Media,Female,194.0,18.91,1,1,3,0,0,4,22,0.0,5,2
WD,FT,Social Media,Female,190.0,8.58,0,0,38,0,0,38,75,0.0,5,2
DA,FT,Social Media,Male,195.0,6.58,0,0,38,0,0,38,75,0.0,5,2
WD,FT,IronhackEvent,Female,159.0,65.24,0,3,36,0,1,39,94,0.09999999999999998,5,2
WD,FT,Social Media,Male,165.0,122.1,0,5,33,0,0,38,93,0.0,5,2
WD,FT,Social Media,Non-binary,196.0,14.14,0,1,36,0,0,37,74,0.0,5,2
DA,FT,Referral,Male,162.0,64.87,0,3,36,0,0,39,94,0.0,5,2
WD,FT,Social Media,Male,175.0,19.5,0,1,38,0,0,39,94,0.0,5,2
WD,PT,Social Media,Male,196.0,58.15,0,2,36,0,0,38,-107,0.0,5,2
DA,FT,Social Media,Male,158.0,2.43,0,0,36,0,0,36,91,0.0,5,2
UX,FT,Social Media,Female,159.0,2.98,0,0,15,0,0,15,70,0.0,6,2
UX,PT,other,Female,197.0,34.9,0,1,36,0,0,37,120,0.0,5,2
UX,FT,google,Male,196.0,16.88,0,1,35,0,0,36,21,0.0,5,2
DA,FT,Social Media,Male,152.0,1.38,0,0,12,0,0,12,67,0.0,6,2
UX,FT,newspaperOrMagazine,Female,166.0,0.93,0,0,15,0,0,15,70,0.0,6,2
DA,FT,Social Media,Male,265.0,2.05,0,0,43,0,0,43,35,0.15000000000000002,2,1
DA,FT,Social Media,Male,252.0,160.25,0,7,7,0,0,14,142,0.0,3,1
UX,FT,Social Media,Female,166.0,1.81,0,0,12,0,0,12,67,0.0,6,2
UX,FT,google,Female,125.0,12.85,0,1,5,0,0,6,61,0.0,6,2
WD,FT,Social Media,Male,158.0,134.85,0,6,6,0,0,12,67,0.0,6,2
DA,FT,google,Female,180.0,18.03,0,1,47,0,0,48,103,0.0,5,2
UX,FT,google,Male,167.0,5.83,1,0,139,0,0,139,218,0.0,2,1
DA,FT,google,Male,189.0,13.02,0,31,145,0,0,176,213,0.0,1,1
UX,FT,other,Male,113.0,18.22,0,31,145,0,0,176,161,0.0,1,1
DA,FT,Social Media,Female,195.0,229.67,0,9,36,0,1,45,82,0.09999999999999998,5,2
DA,FT,google,Female,204.0,4.71,0,0,48,0,0,48,85,0.0,5,2
WD,FT,Social Media,Male,176.0,52.76,0,2,15,0,0,17,72,0.0,6,2
WD,FT,Social Media,Male,187.0,18.98,0,31,85,0,0,116,153,0.0,3,1
WD,FT,google,Male,137.0,0.25,0,0,4,0,0,4,77,0.0,6,2
DA,FT,Referral,Male,130.0,1.07,0,0,8,0,0,8,63,0.0,6,2
WD,FT,other,Male,153.0,0.36,0,0,0,0,0,0,55,0.0,6,2
DA,FT,other,Male,162.0,97.22,0,4,1,0,0,5,60,0.0,6,2
UX,FT,other,Male,204.0,42.83,0,2,43,0,0,45,30,0.0,5,2
DA,FT,google,Male,56.0,1.27,0,0,6,0,0,6,79,0.0,6,2
WD,FT,newspaperOrMagazine,Female,181.0,0.5,0,0,85,0,1,85,122,0.09999999999999998,4,2
WD,FT,other,Female,165.0,0.16,0,0,7,0,0,7,62,0.0,6,2
UX,PT,other,Female,168.0,19.31,0,1,43,0,0,44,127,0.0,5,2
WD,FT,Social Media,Female,168.0,45.26,0,2,8,0,0,10,65,0.0,6,2
DA,FT,google,Female,158.0,19.74,0,1,42,0,1,43,98,0.09999999999999998,5,2
UX,FT,Social Media,Female,167.0,0.87,0,0,6,0,0,6,79,0.0,6,2
DA,FT,google,Male,204.0,43.41,0,2,43,0,0,45,100,0.0,5,2
DA,PT,other,Male,195.0,0.08,0,0,43,0,0,43,-73,0.0,5,2
WD,FT,Social Media,Male,159.0,15.05,0,1,42,0,0,43,98,0.0,5,2
UX,FT,newspaperOrMagazine,Female,158.0,19.26,0,1,42,0,0,43,98,0.0,5,2
DA,FT,Referral,Female,180.0,24.91,0,1,42,0,0,43,98,0.0,5,2
WD,FT,google,Male,190.0,5.67,0,0,48,0,0,48,103,0.0,5,2
UX,FT,google,Female,197.0,93.8,0,4,36,0,0,40,25,0.0,5,2
UX,FT,newspaperOrMagazine,Female,179.0,11.9,0,1,32,0,0,33,88,0.0,5,2
UX,FT,Referral,Female,113.0,10.17,0,0,36,0,0,36,91,0.0,5,2
DA,FT,other,Female,175.0,1.47,0,0,36,0,1,36,91,0.09999999999999998,5,2
WD,FT,Referral,Male,189.0,13.3,1,0,100,0,0,100,87,0.0,5,2
WD,FT,google,Male,194.0,3.57,0,0,33,0,0,33,88,0.0,5,2
DA,FT,Referral,Male,188.0,12.28,0,1,35,0,0,36,91,0.0,5,2
UX,FT,Referral,Female,181.0,17.33,0,1,32,0,0,33,18,0.0,5,2
WD,FT,Social Media,Female,193.0,8.98,0,0,32,0,1,32,69,0.09999999999999998,5,2
UX,FT,Referral,Male,181.0,3.5,0,0,35,0,0,35,20,0.0,5,2
UX,PT,Referral,Female,139.0,1.94,0,0,35,0,0,35,118,0.0,5,2
WD,FT,google,Male,193.0,14.02,0,1,32,0,0,33,88,0.0,5,2
WD,FT,switchup,Female,190.0,1.81,0,0,32,0,1,32,69,0.09999999999999998,5,2
WD,FT,google,Male,173.0,15.46,0,1,34,0,0,35,90,0.0,5,2
WD,FT,other,Male,180.0,3.7,0,0,32,0,0,32,87,0.0,5,2
DA,PT,newspaperOrMagazine,Female,181.0,17.57,0,1,32,0,1,33,-83,0.09999999999999998,5,2
UX,FT,Social Media,Female,194.0,19.49,0,1,34,0,0,35,20,0.0,5,2
WD,PT,other,Male,196.0,16.66,0,1,35,0,0,36,-109,0.0,5,2
UX,FT,other,Female,194.0,1.34,0,0,34,0,0,34,19,0.0,5,2
UX,FT,google,Male,47.0,15.09,0,30,55,0,0,85,574,0.0,4,2
DA,FT,google,Male,162.0,0.26,0,0,7,0,0,7,62,0.0,6,2
WD,FT,other,Female,159.0,2.14,0,0,85,0,1,85,140,0.09999999999999998,4,2
WD,FT,other,Female,181.0,0.39,0,0,116,0,1,116,171,0.09999999999999998,3,1
DA,FT,google,Male,187.0,1.11,0,0,85,0,0,85,122,0.0,4,2
WD,FT,google,Female,165.0,38.24,0,1,15,0,0,16,71,0.0,6,2
DA,FT,google,Female,125.0,21.79,0,1,15,0,0,16,89,0.0,6,2
UX,FT,google,Male,165.0,17.97,0,1,14,0,0,15,70,0.0,6,2
WD,FT,other,Female,166.0,30.62,0,1,15,0,0,16,71,0.0,6,2
UX,FT,google,Female,159.0,0.66,0,0,116,0,0,116,189,0.0,3,1
UX,FT,other,Female,162.0,13.87,0,29,116,0,0,145,200,0.0,2,1
WD,FT,other,Female,159.0,16.96,0,29,116,0,1,145,200,0.09999999999999998,2,1
WD,PT,Social Media,Female,263.0,0.98,0,0,11,0,0,11,-43,0.0,3,1
DA,FT,other,Female,132.0,1144.12,0,48,30,0,1,78,475,0.09999999999999998,7,3
UX,FT,newspaperOrMagazine,Female,141.0,141.29,0,6,72,0,0,78,59,0.0,7,3
DA,FT,Referral,Male,125.0,67.81,0,3,76,0,0,79,42,0.0,7,3
DA,FT,other,Male,96.0,216.1,0,9,64,0,0,73,54,0.0,7,3
UX,FT,other,Male,77.0,65.61,0,3,72,0,0,75,56,0.0,7,3
UX,FT,other,Female,134.0,0.17,0,0,75,0,0,75,38,0.0,7,3
DA,FT,Social Media,Male,124.0,451.53,0,108,37,0,1,145,126,0.09999999999999998,5,2
WD,FT,Referral,Male,123.0,4.36,0,0,71,0,0,71,34,0.0,7,3
UX,FT,other,Female,140.0,28.86,0,1,71,0,0,72,53,0.0,7,3
WD,FT,google,Male,137.0,1.01,0,0,72,0,0,72,35,0.0,7,3
